episode, step, return, noise
200, 9999, -126.022, 0.271
201, 9999, -122.588, 0.268
202, 9999, -119.830, 0.265
203, 9999, -121.319, 0.263
204, 9999, -119.273, 0.260
205, 5186, 37.143, 0.257
206, 9999, -117.531, 0.255
207, 9999, -113.445, 0.252
208, 9999, -116.342, 0.250
209, 9999, -112.359, 0.247
210, 9999, -114.616, 0.245
211, 9999, -111.941, 0.242
212, 9999, -112.006, 0.240
213, 7034, 22.075, 0.238
214, 5088, 44.243, 0.235
215, 9999, -109.816, 0.233
216, 9999, -107.385, 0.230
217, 9999, -106.817, 0.228
218, 9999, -107.650, 0.226
219, 6439, 31.716, 0.224
220, 9999, -106.827, 0.221
221, 9999, -105.253, 0.219
222, 9999, -104.512, 0.217
223, 9999, -101.372, 0.215
224, 9999, -103.427, 0.213
225, 9999, -101.813, 0.211
226, 9999, -102.400, 0.208
227, 9999, -102.282, 0.206
228, 9999, -101.545, 0.204
229, 9999, -98.613, 0.202
230, 9999, -98.251, 0.200
231, 9999, -99.144, 0.198
232, 9999, -99.883, 0.196
233, 8323, 17.262, 0.194
234, 9999, -98.086, 0.192
235, 9999, -97.708, 0.190
236, 9999, -96.526, 0.188
237, 9999, -94.252, 0.187
238, 9999, -94.506, 0.185
239, 9999, -93.682, 0.183
240, 9999, -95.819, 0.181
241, 9999, -93.262, 0.179
242, 9999, -93.180, 0.177
243, 9999, -91.917, 0.176
244, 7617, 29.454, 0.174
245, 9999, -91.736, 0.172
246, 9999, -92.379, 0.170
247, 9999, -92.840, 0.169
248, 9999, -93.749, 0.167
249, 9999, -90.625, 0.165
250, 9999, -91.713, 0.164
251, 9999, -91.068, 0.162
252, 9999, -91.980, 0.160
253, 9999, -91.725, 0.159
254, 9999, -90.555, 0.157
255, 9999, -90.972, 0.156
256, 9999, -89.883, 0.154
257, 9999, -88.573, 0.153
258, 9999, -90.057, 0.151
259, 9999, -89.450, 0.150
260, 9999, -88.961, 0.148
261, 9999, -89.938, 0.147
262, 9999, -90.427, 0.145
263, 9999, -88.241, 0.144
264, 9999, -87.808, 0.142
265, 9999, -88.361, 0.141
266, 9999, -88.296, 0.139
267, 9999, -88.391, 0.138
268, 9999, -87.041, 0.137
269, 9999, -87.632, 0.135
270, 9999, -85.816, 0.134
271, 9999, -87.292, 0.133
272, 9999, -88.072, 0.131
273, 9999, -87.375, 0.130
274, 9999, -86.466, 0.129
275, 9999, -86.517, 0.127
276, 9999, -87.765, 0.126
277, 9999, -88.018, 0.125
278, 9999, -88.656, 0.124
279, 9999, -86.493, 0.122
280, 9999, -87.433, 0.121
281, 9999, -88.952, 0.120
282, 9999, -88.453, 0.119
283, 9999, -87.435, 0.118
284, 9999, -87.073, 0.116
285, 9999, -86.908, 0.115
286, 9999, -87.931, 0.114
287, 9999, -87.451, 0.113
288, 9999, -87.760, 0.112
289, 9999, -88.435, 0.111
290, 9999, -88.011, 0.110
291, 9999, -87.184, 0.108
292, 9999, -88.762, 0.107
293, 9999, -88.115, 0.106
294, 9999, -88.009, 0.105
295, 9999, -87.574, 0.104
296, 9999, -88.522, 0.103
297, 9999, -88.130, 0.102
298, 9999, -88.679, 0.101
299, 9999, -88.741, 0.100
300, 9999, -88.679, 0.099
301, 9999, -89.132, 0.098
302, 9999, -88.656, 0.097
303, 9999, -88.909, 0.096
304, 9999, -88.988, 0.095
305, 9999, -89.401, 0.094
306, 9999, -88.271, 0.093
307, 9999, -89.890, 0.092
308, 9999, -88.918, 0.091
309, 9999, -88.766, 0.091
310, 9999, -89.469, 0.090
311, 9999, -88.844, 0.089
312, 9999, -89.627, 0.088
313, 9999, -90.263, 0.087
314, 9999, -89.950, 0.086
315, 9999, -89.992, 0.085
316, 9999, -89.734, 0.084
317, 9999, -91.054, 0.084
318, 9999, -90.557, 0.083
319, 9999, -91.258, 0.082
320, 9999, -89.719, 0.081
321, 9999, -89.912, 0.080
322, 9999, -90.580, 0.079
323, 9999, -90.822, 0.079
324, 9999, -89.703, 0.078
325, 9999, -91.643, 0.077
326, 9999, -91.685, 0.076
327, 9999, -91.842, 0.076
328, 9999, -91.308, 0.075
329, 9999, -91.526, 0.074
330, 9999, -92.404, 0.073
331, 9999, -92.435, 0.073
332, 9999, -91.957, 0.072
333, 9999, -91.395, 0.071
334, 9999, -92.186, 0.070
335, 9999, -92.867, 0.070
336, 9999, -93.028, 0.069
337, 9999, -92.858, 0.068
338, 9999, -93.699, 0.068
339, 9999, -94.043, 0.067
340, 9999, -93.691, 0.066
341, 9999, -94.260, 0.066
342, 9999, -94.173, 0.065
343, 9999, -93.653, 0.064
344, 9999, -94.176, 0.064
345, 9999, -94.563, 0.063
346, 9999, -95.023, 0.062
347, 9999, -94.549, 0.062
348, 9999, -94.970, 0.061
349, 9999, -95.910, 0.061
350, 9999, -95.474, 0.060
351, 9999, -95.562, 0.059
352, 9999, -95.984, 0.059
353, 9999, -96.783, 0.058
354, 9999, -96.026, 0.058
355, 9999, -96.546, 0.057
356, 9999, -96.733, 0.056
357, 9999, -96.889, 0.056
358, 9999, -97.787, 0.055
359, 9999, -96.909, 0.055
360, 9999, -97.821, 0.054
361, 9999, -98.156, 0.054
362, 9999, -98.968, 0.053
363, 9999, -98.000, 0.053
364, 9999, -98.415, 0.052
365, 9999, -98.906, 0.052
366, 9999, -99.451, 0.051
367, 9999, -98.579, 0.051
368, 9999, -99.515, 0.050
369, 9999, -99.947, 0.050
370, 9999, -99.980, 0.050
371, 9999, -100.238, 0.050
372, 9999, -100.445, 0.050
373, 9999, -100.577, 0.050
374, 9999, -101.040, 0.050
375, 9999, -101.704, 0.050
376, 9999, -101.368, 0.050
377, 9999, -101.630, 0.050
378, 9999, -102.152, 0.050
379, 9999, -102.484, 0.050
380, 9999, -102.881, 0.050
381, 9999, -103.814, 0.050
382, 9999, -102.945, 0.050
383, 9999, -103.709, 0.050
384, 9999, -104.459, 0.050
385, 9999, -103.803, 0.050
386, 9999, -104.817, 0.050
387, 9999, -104.488, 0.050
388, 9999, -104.893, 0.050
389, 9999, -105.142, 0.050
